"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 22:17:13 GMT 2025","Wed May 28 22:17:13 GMT 2025","132","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","systemAdminCreatesProjectWithNonLatinLettersTest","System Admin should not be able to create project with id, that contains non latin letters",""
"passed","Wed May 28 22:17:02 GMT 2025","Wed May 28 22:17:03 GMT 2025","1559","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Wed May 28 22:17:11 GMT 2025","Wed May 28 22:17:12 GMT 2025","135","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesTwoProjectsWithTheSameName","SuperUser should not be able to create project with the same name",""
"passed","Wed May 28 22:17:14 GMT 2025","Wed May 28 22:17:14 GMT 2025","197","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","systemAdminCreatesTwoProjectsWithTheSameId","System admin should not be able to create project with the same ID",""
"passed","Wed May 28 22:17:07 GMT 2025","Wed May 28 22:17:07 GMT 2025","359","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Wed May 28 22:17:06 GMT 2025","Wed May 28 22:17:06 GMT 2025","114","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create BuildType",""
"passed","Wed May 28 22:17:13 GMT 2025","Wed May 28 22:17:13 GMT 2025","103","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","systemAdminCreatesProjectWithLongIdLengthTest","System Admin should not be able to create project with id length > 225",""
"passed","Wed May 28 22:17:11 GMT 2025","Wed May 28 22:17:11 GMT 2025","84","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesTwoProjectsWithTheSameId","SuperUser should not be able to create project with the same ID",""
"passed","Wed May 28 22:17:11 GMT 2025","Wed May 28 22:17:11 GMT 2025","66","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesProjectWithNonLatinLettersTest","SuperUser should not be able to create project with id, that contains non latin letters",""
"passed","Wed May 28 22:17:04 GMT 2025","Wed May 28 22:17:05 GMT 2025","895","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed May 28 22:17:11 GMT 2025","Wed May 28 22:17:11 GMT 2025","66","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superUserCreatesProjectWithInvalidCharactersTest","SuperUser should not be able to create project, that starts with non letter character and with non latin letters",""
"passed","Wed May 28 22:17:14 GMT 2025","Wed May 28 22:17:14 GMT 2025","106","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userWithCertainRolesCreatesProjectTest","Users with roles Project viewer, Project developer, Agent manager should not be able to create project of global scope",""
"passed","Wed May 28 22:17:05 GMT 2025","Wed May 28 22:17:05 GMT 2025","208","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","superUserCreatesBuildTypeTest","SuperUser should be able to create build type",""
